head_of_department_code,head_of_account,head_of_account_description,detail_head,detail_head_description,plan_code,voted_charged,year,value,
502,240100001AA,Agriculture Department - Headquarters Staff,30107,Travel Concession,SE,Voted,2021-2022,0,
502,240100001AA,Agriculture Department - Headquarters Staff,30108,City Compensatory Allowance,SE,Voted,2021-2022,2626,
502,240100001AA,Agriculture Department - Headquarters Staff,30301,Dearness Allowance,SE,Voted,2021-2022,32357,
502,240100001AA,Agriculture Department - Headquarters Staff,30401,Tour Travelling Allowances,SE,Voted,2021-2022,283,
502,240100001AA,Agriculture Department - Headquarters Staff,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,24,
502,240100001AA,Agriculture Department - Headquarters Staff,30501,Telephone Charges,SE,Voted,2021-2022,80,
502,240100001AA,Agriculture Department - Headquarters Staff,30502,Other Contingencies,SE,Voted,2021-2022,644,
502,240100001AA,Agriculture Department - Headquarters Staff,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,350,
502,240100001AA,Agriculture Department - Headquarters Staff,31903,Maintenance,SE,Voted,2021-2022,6,
502,240100001AA,Agriculture Department - Headquarters Staff,32101,Purchase,SE,Voted,2021-2022,0,
502,240100001AA,Agriculture Department - Headquarters Staff,32102,Maintenance of Functional Vehicles,SE,Voted,2021-2022,32,
502,240100001AA,Agriculture Department - Headquarters Staff,33301,Pleaders Fees,SE,Voted,2021-2022,197,
502,240100001AA,Agriculture Department - Headquarters Staff,33304,Contract Payment,SE,Voted,2021-2022,1032,
502,240100001AA,Agriculture Department - Headquarters Staff,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,1247,
502,240100001AA,Agriculture Department - Headquarters Staff,34901,Festival Advances-Debit,SE,Voted,2021-2022,1630,
502,240100001AA,Agriculture Department - Headquarters Staff,34902,Festival Advances-Credit,SE,Voted,2021-2022,-1578,
502,240100001AA,Agriculture Department - Headquarters Staff,35901,Prizes and Awards,SE,Voted,2021-2022,2,
502,240100001AA,Agriculture Department - Headquarters Staff,37602,Maintenance,SE,Voted,2021-2022,320,
502,240100001AA,Agriculture Department - Headquarters Staff,37603,Stationery,SE,Voted,2021-2022,188,
502,240100001AA,Agriculture Department - Headquarters Staff,30503,Electricity Charges,SE,Voted,2021-2022,2087,
502,240100001AA,Agriculture Department - Headquarters Staff,30602,Property tax,SE,Voted,2021-2022,24,
502,240100001AA,Agriculture Department - Headquarters Staff,30603,Water Charges,SE,Voted,2021-2022,41,
502,240100001AA,Agriculture Department - Headquarters Staff,30604,Lease for Land,SE,Voted,2021-2022,0,
502,240100001AA,Agriculture Department - Headquarters Staff,30701,Publications,SE,Voted,2021-2022,2,
502,240100001AA,Agriculture Department - Headquarters Staff,30802,Exhibition,SE,Voted,2021-2022,873,
502,240100001AA,Agriculture Department - Headquarters Staff,34601,"Clothing, Tentage and Stores",SE,Voted,2021-2022,46,
502,240100001AA,Agriculture Department - Headquarters Staff,36001,T.A./D.A.to Non-Official Members,SE,Voted,2021-2022,0,
502,240100001AB,Agriculture Department - Regional and District Staff,30101,Pay,SE,Voted,2021-2022,38961,
502,240100001AB,Agriculture Department - Regional and District Staff,30102,Medical Allowance,SE,Voted,2021-2022,331,
502,240100001AB,Agriculture Department - Regional and District Staff,30103,Medical Charges,SE,Voted,2021-2022,8,
502,240100001AB,Agriculture Department - Regional and District Staff,30104,Other Allowances,SE,Voted,2021-2022,400,
502,240100001AB,Agriculture Department - Regional and District Staff,30106,House Rent Allowance,SE,Voted,2021-2022,2458,
502,240100001AB,Agriculture Department - Regional and District Staff,30107,Travel Concession,SE,Voted,2021-2022,0,
502,240100001AB,Agriculture Department - Regional and District Staff,30108,City Compensatory Allowance,SE,Voted,2021-2022,187,
502,240100001AB,Agriculture Department - Regional and District Staff,30301,Dearness Allowance,SE,Voted,2021-2022,10201,
502,240100001AB,Agriculture Department - Regional and District Staff,30401,Tour Travelling Allowances,SE,Voted,2021-2022,387,
502,240100001AB,Agriculture Department - Regional and District Staff,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,4,
502,240100001AB,Agriculture Department - Regional and District Staff,30501,Telephone Charges,SE,Voted,2021-2022,20,
502,240100001AB,Agriculture Department - Regional and District Staff,30502,Other Contingencies,SE,Voted,2021-2022,57,
502,240100001AB,Agriculture Department - Regional and District Staff,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,25,
502,240100001AB,Agriculture Department - Regional and District Staff,32101,Purchase,SE,Voted,2021-2022,0,
502,240100001AB,Agriculture Department - Regional and District Staff,32102,Maintenance of Functional Vehicles,SE,Voted,2021-2022,1033,
502,240100001AB,Agriculture Department - Regional and District Staff,33304,Contract Payment,SE,Voted,2021-2022,49037,
502,240100001AB,Agriculture Department - Regional and District Staff,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,20940,
502,240100001AB,Agriculture Department - Regional and District Staff,34901,Festival Advances-Debit,SE,Voted,2021-2022,650,
502,240100001AB,Agriculture Department - Regional and District Staff,34902,Festival Advances-Credit,SE,Voted,2021-2022,-584,
502,240100001AB,Agriculture Department - Regional and District Staff,35901,Prizes and Awards,SE,Voted,2021-2022,2,
502,240100001AB,Agriculture Department - Regional and District Staff,37602,Maintenance,SE,Voted,2021-2022,44,
502,240100001AB,Agriculture Department - Regional and District Staff,37603,Stationery,SE,Voted,2021-2022,12,
502,240100001AB,Agriculture Department - Regional and District Staff,30503,Electricity Charges,SE,Voted,2021-2022,144,
502,240100001AB,Agriculture Department - Regional and District Staff,30602,Property tax,SE,Voted,2021-2022,8,
502,240100001AB,Agriculture Department - Regional and District Staff,34601,"Clothing, Tentage and Stores",SE,Voted,2021-2022,0,
502,240100001AB,Agriculture Department - Regional and District Staff,30403,Fixed Travelling Allowances,SE,Voted,2021-2022,0,
502,240100001AB,Agriculture Department - Regional and District Staff,30601,Rent,SE,Voted,2021-2022,0,
502,240100001AU,Settlement of Air Travel Expenses incurred by Government Departments- Controlled by the Director of Agriculture,30401,Tour Travelling Allowances,SE,Voted,2021-2022,20,
502,240100001AZ,Grants to Directorate of Agriculture for extending IT initiatives,30903,Grants for Specific Schemes,SE,Voted,2021-2022,10329,
502,240100102AG,Tamil Nadu Millet Mission.,30907,Research,SE,Voted,2021-2022,0,
502,240100102AG,Tamil Nadu Millet Mission.,31101,Individual Based Subsidy,SE,Voted,2021-2022,0,
502,240100102JD,Crop yield Competition,30401,Tour Travelling Allowances,SE,Voted,2021-2022,13,
502,240100102JD,Crop yield Competition,35901,Prizes and Awards,SE,Voted,2021-2022,1720,
502,240100102JE,Payment of Production Incentive to the Farmers for supply of Paddy to Tamil Nadu Civil Supplies Corporation,31102,General Subsidy,SE,Voted,2021-2022,2885305,
502,240100102JK,Relief measures to damaged Agricultural crops in flood affected areas,31101,Individual Based Subsidy,SE,Voted,2021-2022,229081,
502,240100102UC,Production and Distribution of quality seeds,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,105648,
502,240100102UD,Production and Distribution of quality seeds - State Share,30903,Grants for Specific Schemes,SSSC,Voted,2021-2022,70432,
502,240100103AA,Establishment of State Seed farms,30101,Pay,SE,Voted,2021-2022,26204,
502,240100103AA,Establishment of State Seed farms,30102,Medical Allowance,SE,Voted,2021-2022,234,
502,240100103AA,Establishment of State Seed farms,30104,Other Allowances,SE,Voted,2021-2022,422,
502,240100103AA,Establishment of State Seed farms,30106,House Rent Allowance,SE,Voted,2021-2022,1349,
502,240100103AA,Establishment of State Seed farms,30107,Travel Concession,SE,Voted,2021-2022,0,
502,240100103AA,Establishment of State Seed farms,30108,City Compensatory Allowance,SE,Voted,2021-2022,67,
502,240100103AA,Establishment of State Seed farms,30301,Dearness Allowance,SE,Voted,2021-2022,14457,
502,240100103AA,Establishment of State Seed farms,30401,Tour Travelling Allowances,SE,Voted,2021-2022,147,
502,240100103AA,Establishment of State Seed farms,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,0,
502,240100103AA,Establishment of State Seed farms,30502,Other Contingencies,SE,Voted,2021-2022,324,
502,240100103AA,Establishment of State Seed farms,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,7,
502,240100103AA,Establishment of State Seed farms,31901,Purchase,SE,Voted,2021-2022,1,
502,240100103AA,Establishment of State Seed farms,31903,Maintenance,SE,Voted,2021-2022,1130,
502,240100103AA,Establishment of State Seed farms,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,1060,
502,240100103AA,Establishment of State Seed farms,34901,Festival Advances-Debit,SE,Voted,2021-2022,420,
502,240100103AA,Establishment of State Seed farms,34902,Festival Advances-Credit,SE,Voted,2021-2022,-408,
502,240100103AA,Establishment of State Seed farms,35901,Prizes and Awards,SE,Voted,2021-2022,0,
502,240100103AA,Establishment of State Seed farms,37602,Maintenance,SE,Voted,2021-2022,34,
502,240100103AA,Establishment of State Seed farms,37603,Stationery,SE,Voted,2021-2022,4,
502,240100103AA,Establishment of State Seed farms,30503,Electricity Charges,SE,Voted,2021-2022,685,
502,240100103AA,Establishment of State Seed farms,30602,Property tax,SE,Voted,2021-2022,80,
502,240100103AA,Establishment of State Seed farms,30603,Water Charges,SE,Voted,2021-2022,7,
502,240100103AA,Establishment of State Seed farms,30604,Lease for Land,SE,Voted,2021-2022,0,
502,240100103AA,Establishment of State Seed farms,30403,Fixed Travelling Allowances,SE,Voted,2021-2022,26,
502,240100103AA,Establishment of State Seed farms,30801,Advertisement Charges,SE,Voted,2021-2022,1,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,30101,Pay,SE,Voted,2021-2022,4632,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,30102,Medical Allowance,SE,Voted,2021-2022,50,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,30104,Other Allowances,SE,Voted,2021-2022,101,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,30106,House Rent Allowance,SE,Voted,2021-2022,226,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,30107,Travel Concession,SE,Voted,2021-2022,0,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,30108,City Compensatory Allowance,SE,Voted,2021-2022,4,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,30301,Dearness Allowance,SE,Voted,2021-2022,1395,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,30401,Tour Travelling Allowances,SE,Voted,2021-2022,42,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,30502,Other Contingencies,SE,Voted,2021-2022,83,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,0,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,31903,Maintenance,SE,Voted,2021-2022,77,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,34901,Festival Advances-Debit,SE,Voted,2021-2022,90,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,34902,Festival Advances-Credit,SE,Voted,2021-2022,-93,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,35901,Prizes and Awards,SE,Voted,2021-2022,2,
502,240100103AC,Multiplication and Distribution of Pulses Seeds,30503,Electricity Charges,SE,Voted,2021-2022,30,
502,240100103AD,Seed Processing Unit,30101,Pay,SE,Voted,2021-2022,40862,
502,240100103AD,Seed Processing Unit,30102,Medical Allowance,SE,Voted,2021-2022,274,
502,240100103AD,Seed Processing Unit,30103,Medical Charges,SE,Voted,2021-2022,0,
502,240100103AD,Seed Processing Unit,30104,Other Allowances,SE,Voted,2021-2022,204,
502,240100103AD,Seed Processing Unit,30106,House Rent Allowance,SE,Voted,2021-2022,2332,
502,240100103AD,Seed Processing Unit,30107,Travel Concession,SE,Voted,2021-2022,0,
502,240100103AD,Seed Processing Unit,30108,City Compensatory Allowance,SE,Voted,2021-2022,169,
502,240100103AD,Seed Processing Unit,30301,Dearness Allowance,SE,Voted,2021-2022,9279,
502,240100103AD,Seed Processing Unit,30401,Tour Travelling Allowances,SE,Voted,2021-2022,198,
502,240100103AD,Seed Processing Unit,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,0,
502,240100103AD,Seed Processing Unit,30501,Telephone Charges,SE,Voted,2021-2022,0,
502,240100103AD,Seed Processing Unit,30502,Other Contingencies,SE,Voted,2021-2022,517,
502,240100103AD,Seed Processing Unit,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,12,
502,240100103AD,Seed Processing Unit,31903,Maintenance,SE,Voted,2021-2022,947,
502,240100103AD,Seed Processing Unit,32102,Maintenance of Functional Vehicles,SE,Voted,2021-2022,11,
502,240100103AD,Seed Processing Unit,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,161,
502,240100103AD,Seed Processing Unit,34901,Festival Advances-Debit,SE,Voted,2021-2022,490,
502,240100103AD,Seed Processing Unit,34902,Festival Advances-Credit,SE,Voted,2021-2022,-486,
502,240100103AD,Seed Processing Unit,35901,Prizes and Awards,SE,Voted,2021-2022,2,
502,240100103AD,Seed Processing Unit,37602,Maintenance,SE,Voted,2021-2022,17,
502,240100103AD,Seed Processing Unit,37603,Stationery,SE,Voted,2021-2022,4,
502,240100103AD,Seed Processing Unit,30503,Electricity Charges,SE,Voted,2021-2022,2395,
502,240100103AD,Seed Processing Unit,30602,Property tax,SE,Voted,2021-2022,312,
502,240100103AD,Seed Processing Unit,34601,"Clothing, Tentage and Stores",SE,Voted,2021-2022,1,
502,240100103AD,Seed Processing Unit,30601,Rent,SE,Voted,2021-2022,419,
502,240100103AD,Seed Processing Unit,31902,Renewal and Replacement,SE,Voted,2021-2022,24,
502,240100103AD,Seed Processing Unit,32401,Materials and Supplies,SE,Voted,2021-2022,45,
502,240100103AD,Seed Processing Unit,34701,Stores,SE,Voted,2021-2022,36,
502,240100103AD,Seed Processing Unit,37301,Transport Charges,SE,Voted,2021-2022,3,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30101,Pay,SE,Voted,2021-2022,32102,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30102,Medical Allowance,SE,Voted,2021-2022,267,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30104,Other Allowances,SE,Voted,2021-2022,352,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30106,House Rent Allowance,SE,Voted,2021-2022,1665,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30107,Travel Concession,SE,Voted,2021-2022,0,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30108,City Compensatory Allowance,SE,Voted,2021-2022,94,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30301,Dearness Allowance,SE,Voted,2021-2022,13804,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30401,Tour Travelling Allowances,SE,Voted,2021-2022,158,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,0,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30501,Telephone Charges,SE,Voted,2021-2022,6,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30502,Other Contingencies,SE,Voted,2021-2022,104,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,0,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,31903,Maintenance,SE,Voted,2021-2022,62,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,11,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,34901,Festival Advances-Debit,SE,Voted,2021-2022,420,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,34902,Festival Advances-Credit,SE,Voted,2021-2022,-389,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,35901,Prizes and Awards,SE,Voted,2021-2022,0,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,37602,Maintenance,SE,Voted,2021-2022,1,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,37603,Stationery,SE,Voted,2021-2022,2,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30503,Electricity Charges,SE,Voted,2021-2022,116,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30602,Property tax,SE,Voted,2021-2022,33,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30603,Water Charges,SE,Voted,2021-2022,2,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30403,Fixed Travelling Allowances,SE,Voted,2021-2022,122,
502,240100103AF,Establishment of Foundation Seed Farm for oilseeds,30801,Advertisement Charges,SE,Voted,2021-2022,0,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30101,Pay,SE,Voted,2021-2022,4687,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30102,Medical Allowance,SE,Voted,2021-2022,44,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30104,Other Allowances,SE,Voted,2021-2022,33,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30106,House Rent Allowance,SE,Voted,2021-2022,483,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30107,Travel Concession,SE,Voted,2021-2022,0,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30108,City Compensatory Allowance,SE,Voted,2021-2022,91,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30301,Dearness Allowance,SE,Voted,2021-2022,1626,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30401,Tour Travelling Allowances,SE,Voted,2021-2022,38,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,0,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30502,Other Contingencies,SE,Voted,2021-2022,3,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,1,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,34901,Festival Advances-Debit,SE,Voted,2021-2022,60,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,34902,Festival Advances-Credit,SE,Voted,2021-2022,-36,
502,240100103AH,Production and Distribution of Quality coconut seedlings and Renovation of coconut trees in Urban Areas,30403,Fixed Travelling Allowances,SE,Voted,2021-2022,66,
502,240100103AK,Foundation Seed Production Centre for Groundnut,30502,Other Contingencies,SE,Voted,2021-2022,17,
502,240100103AK,Foundation Seed Production Centre for Groundnut,31903,Maintenance,SE,Voted,2021-2022,78,
502,240100103AK,Foundation Seed Production Centre for Groundnut,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,30,
502,240100103AK,Foundation Seed Production Centre for Groundnut,30503,Electricity Charges,SE,Voted,2021-2022,103,
502,240100103AK,Foundation Seed Production Centre for Groundnut,30801,Advertisement Charges,SE,Voted,2021-2022,15,
502,240100103AL,Procurement and distribution of Paddy seeds,30101,Pay,SE,Voted,2021-2022,2388,
502,240100103AL,Procurement and distribution of Paddy seeds,30102,Medical Allowance,SE,Voted,2021-2022,29,
502,240100103AL,Procurement and distribution of Paddy seeds,30104,Other Allowances,SE,Voted,2021-2022,22,
502,240100103AL,Procurement and distribution of Paddy seeds,30106,House Rent Allowance,SE,Voted,2021-2022,129,
502,240100103AL,Procurement and distribution of Paddy seeds,30108,City Compensatory Allowance,SE,Voted,2021-2022,10,
502,240100103AL,Procurement and distribution of Paddy seeds,30301,Dearness Allowance,SE,Voted,2021-2022,481,
502,240100103AL,Procurement and distribution of Paddy seeds,30401,Tour Travelling Allowances,SE,Voted,2021-2022,8,
502,240100103AL,Procurement and distribution of Paddy seeds,30502,Other Contingencies,SE,Voted,2021-2022,15,
502,240100103AL,Procurement and distribution of Paddy seeds,34901,Festival Advances-Debit,SE,Voted,2021-2022,40,
502,240100103AL,Procurement and distribution of Paddy seeds,34902,Festival Advances-Credit,SE,Voted,2021-2022,-20,
502,240100103AL,Procurement and distribution of Paddy seeds,30503,Electricity Charges,SE,Voted,2021-2022,1,
502,240100103AL,Procurement and distribution of Paddy seeds,30602,Property tax,SE,Voted,2021-2022,34,
502,240100103AL,Procurement and distribution of Paddy seeds,30601,Rent,SE,Voted,2021-2022,510,
502,240100103AM,Multiplication of Sugarcane Seeds,30101,Pay,SE,Voted,2021-2022,671,
502,240100103AM,Multiplication of Sugarcane Seeds,30102,Medical Allowance,SE,Voted,2021-2022,4,
502,240100103AM,Multiplication of Sugarcane Seeds,30104,Other Allowances,SE,Voted,2021-2022,6,
502,240100103AM,Multiplication of Sugarcane Seeds,30106,House Rent Allowance,SE,Voted,2021-2022,52,
502,240100103AM,Multiplication of Sugarcane Seeds,30301,Dearness Allowance,SE,Voted,2021-2022,130,
502,240100103AM,Multiplication of Sugarcane Seeds,30401,Tour Travelling Allowances,SE,Voted,2021-2022,14,
502,240100103AM,Multiplication of Sugarcane Seeds,32102,Maintenance of Functional Vehicles,SE,Voted,2021-2022,2,
502,240100103AM,Multiplication of Sugarcane Seeds,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,44,
502,240100103AM,Multiplication of Sugarcane Seeds,34901,Festival Advances-Debit,SE,Voted,2021-2022,0,
502,240100103AM,Multiplication of Sugarcane Seeds,34902,Festival Advances-Credit,SE,Voted,2021-2022,0,
502,240100103AM,Multiplication of Sugarcane Seeds,30503,Electricity Charges,SE,Voted,2021-2022,9,
502,240100103AM,Multiplication of Sugarcane Seeds,34601,"Clothing, Tentage and Stores",SE,Voted,2021-2022,5,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30101,Pay,SE,Voted,2021-2022,650330,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30102,Medical Allowance,SE,Voted,2021-2022,4475,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30103,Medical Charges,SE,Voted,2021-2022,16,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30104,Other Allowances,SE,Voted,2021-2022,4952,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30106,House Rent Allowance,SE,Voted,2021-2022,35837,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30107,Travel Concession,SE,Voted,2021-2022,3,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30108,City Compensatory Allowance,SE,Voted,2021-2022,1982,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30301,Dearness Allowance,SE,Voted,2021-2022,207798,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30401,Tour Travelling Allowances,SE,Voted,2021-2022,8919,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30402,Transfer Travelling Allowances,SE,Voted,2021-2022,10,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30501,Telephone Charges,SE,Voted,2021-2022,64,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30502,Other Contingencies,SE,Voted,2021-2022,547,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,30504,Service Postage & Postal Expenditure,SE,Voted,2021-2022,63,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,31903,Maintenance,SE,Voted,2021-2022,29,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,32102,Maintenance of Functional Vehicles,SE,Voted,2021-2022,42,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,33301,Pleaders Fees,SE,Voted,2021-2022,5,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,34501,"Petroleum, Oil and Lubricant",SE,Voted,2021-2022,533,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,34901,Festival Advances-Debit,SE,Voted,2021-2022,7700,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,34902,Festival Advances-Credit,SE,Voted,2021-2022,-7392,
502,240100103AN,Establishment of seed centres for procurement and distribution of seeds,35901,Prizes and Awards,SE,Voted,2021-2022,14,
